Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Fraction		"UV_CUT_TEMP@100,BASEM (1)"		Run Log	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Fraction	ml	mAU	ml	Logbook
-173.273941	2.332718	-173.273941	27.892967	-172.784134	100					1.959061	-0.033166		
-173.260605	2.323009	-173.260605	27.894222	-172.767471	100					1.972397	-0.033134		
-173.247284	2.309397	-173.247284	27.89502	-172.750809	100					1.985718	-0.033101		
-173.233963	2.294879	-173.233963	27.895117	-172.734161	100					1.999039	-0.033069		
-173.220627	2.283587	-173.220627	27.901161	-172.717499	100					2.012375	-0.033043		
-173.207306	2.269858	-173.207306	27.910582	-172.700836	100					2.025696	-0.033017		
-173.19397	2.253481	-173.19397	27.916712	-172.684174	100					2.039032	-0.032991		
-173.180649	2.23342	-173.180649	27.919355	-172.667526	100					2.052353	-0.032965		
-173.167328	2.217989	-173.167328	27.9214	-172.650864	100					2.065674	-0.032939		
-173.153992	2.203438	-173.153992	27.92178	-172.634201	100					2.07901	-0.032913		
-173.140671	2.186999	-173.140671	27.920998	-172.617538	100					2.092331	-0.032887		
-173.127335	2.174039	-173.127335	27.920078	-172.600891	100					2.105667	-0.032861		
-173.114014	2.160566	-173.114014	27.918449	-172.584229	100					2.118988	-0.032835		
-173.100693	2.15026	-173.100693	27.915485	-172.567566	100					2.132309	-0.032809		
-173.087357	2.138597	-173.087357	27.913429	-172.550903	100					2.145645	-0.032777		
-173.074036	2.128248	-173.074036	27.912062	-172.534256	100					2.158966	-0.032744		
-173.060699	2.118298	-173.060699	27.911276	-172.517593	100					2.172302	-0.032711		
-173.047379	2.101199	-173.047379	27.909985	-172.500931	100					2.185623	-0.032678		
-173.034058	2.084792	-173.034058	27.909563	-172.484268	100					2.198944	-0.032646		
-173.020721	2.069718	-173.020721	27.909363	-172.467621	100					2.21228	-0.032613		
-173.007401	2.056243	-173.007401	27.908234	-172.450958	100					2.225601	-0.03258		
-172.99408	2.042426	-172.99408	27.907713	-172.434296	100					2.238937	-0.032547		
-172.980743	2.023729	-172.980743	27.908812	-172.417633	100					2.252258	-0.032514		
-172.967422	2.007749	-172.967422	27.908537	-172.40097	100					2.265579	-0.032482		
-172.954086	1.996781	-172.954086	27.907883	-172.384323	100					2.278915	-0.032455		
-172.940765	1.987529	-172.940765	27.906189	-172.367661	100					2.292236	-0.032429		
-172.927444	1.973812	-172.927444	27.905497	-172.350998	100					2.305557	-0.032403		
-172.914108	1.960889	-172.914108	27.904133	-172.334335	100					2.318893	-0.032377		
-172.900787	1.948143	-172.900787	27.902504	-172.317688	100					2.332214	-0.03235		
-172.887451	1.940061	-172.887451	27.900879	-172.301025	100					2.345551	-0.032324		
-172.87413	1.936423	-172.87413	27.89912	-172.284363	100					2.358871	-0.032298		
-172.860809	1.930622	-172.860809	27.898096	-172.2677	100					2.372192	-0.032272		
-172.847473	1.924793	-172.847473	27.897005	-172.251053	100					2.385529	-0.032246		
-172.834152	1.920561	-172.834152	27.895247	-172.23439	100					2.398849	-0.032219		
